"filename", "language", "YAML", "Gradle", "Properties", "C++", "XML", "Swift", "Markdown", "CMake", "JSON", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\admin\admin_dashboard\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Asus\Desktop\admin\admin_dashboard\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\build.gradle", "Gradle", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 72
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 2, 40
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\build.gradle", "Gradle", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\gradle.properties", "Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Asus\Desktop\admin\admin_dashboard\android\settings.gradle", "Gradle", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\BlogPost.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Comments.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Dashboard.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Dribbble.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Facebook.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Linkedin.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Logout.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Pages.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Post.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Setting.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Statistics.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Subscribers.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Twitter.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\bell(1).svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\bell.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\chart.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\energy.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 6, 36
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\eyes.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\home.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
