Date : 2023-06-06 12:20:42
Directory : c:\Users\Asus\Desktop\admin\admin_dashboard
Total : 148 files,  9725 codes, 1501 comments, 868 blanks, all 12094 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         74 |      8,065 |      1,229 |        559 |      9,853 |
| XML        |         38 |        610 |         50 |         44 |        704 |
| C++        |         16 |        532 |        118 |        181 |        831 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         89 |          5 |         22 |        116 |
| YAML       |          2 |         43 |         80 |         17 |        140 |
| Swift      |          4 |         42 |          3 |         12 |         57 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| CMake      |          2 |         37 |          0 |         12 |         49 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        148 |      9,725 |      1,501 |        868 |     12,094 |
| . (Files)                                                                                                    |          3 |         53 |         80 |         24 |        157 |
| android                                                                                                      |         12 |        163 |         51 |         34 |        248 |
| android (Files)                                                                                              |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                  |          8 |        120 |         51 |         23 |        194 |
| android\app (Files)                                                                                          |          1 |         54 |          5 |         13 |         72 |
| android\app\src                                                                                              |          7 |         66 |         46 |         10 |        122 |
| android\app\src\debug                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                         |          5 |         58 |         38 |          8 |        104 |
| android\app\src\main (Files)                                                                                 |          1 |         32 |          6 |          2 |         40 |
| android\app\src\main\res                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                      |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                               |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                       |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                       |         28 |        140 |          2 |         31 |        173 |
| assets\icons                                                                                                 |         28 |        140 |          2 |         31 |        173 |
| ios                                                                                                          |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                   |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                           |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                   |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                              |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                          |         73 |      8,051 |      1,219 |        552 |      9,822 |
| lib (Files)                                                                                                  |          2 |         78 |          7 |          7 |         92 |
| lib\constants                                                                                                |          2 |         45 |          2 |         12 |         59 |
| lib\controllers                                                                                              |          3 |        535 |          3 |         62 |        600 |
| lib\core                                                                                                     |          4 |        130 |         10 |         17 |        157 |
| lib\core\class                                                                                               |          2 |        107 |          9 |         12 |        128 |
| lib\core\functions                                                                                           |          2 |         23 |          1 |          5 |         29 |
| lib\data                                                                                                     |          2 |        113 |          3 |         10 |        126 |
| lib\data (Files)                                                                                             |          1 |         89 |          0 |          5 |         94 |
| lib\data\remote                                                                                              |          1 |         24 |          3 |          5 |         32 |
| lib\models                                                                                                   |          9 |        528 |         93 |         42 |        663 |
| lib\screens                                                                                                  |         51 |      6,622 |      1,101 |        402 |      8,125 |
| lib\screens (Files)                                                                                          |          3 |        352 |         41 |         33 |        426 |
| lib\screens\auth                                                                                             |          3 |        465 |        152 |         23 |        640 |
| lib\screens\components                                                                                       |         18 |      1,275 |         76 |        104 |      1,455 |
| lib\screens\majdy                                                                                            |         27 |      4,530 |        832 |        242 |      5,604 |
| lib\screens\majdy (Files)                                                                                    |          2 |        171 |        339 |         16 |        526 |
| lib\screens\majdy\CoachesPage                                                                                |          8 |      1,855 |         23 |         62 |      1,940 |
| lib\screens\majdy\DashboardPage                                                                              |          7 |        768 |         34 |         69 |        871 |
| lib\screens\majdy\DashboardPage (Files)                                                                      |          2 |        253 |          8 |         14 |        275 |
| lib\screens\majdy\DashboardPage\components                                                                   |          5 |        515 |         26 |         55 |        596 |
| lib\screens\majdy\FormatPage                                                                                 |          1 |         54 |          0 |          5 |         59 |
| lib\screens\majdy\GymConfigPage                                                                              |          1 |        264 |          3 |          8 |        275 |
| lib\screens\majdy\PrimaryPage                                                                                |          2 |        286 |         11 |         13 |        310 |
| lib\screens\majdy\SettingPage                                                                                |          1 |        229 |         16 |          8 |        253 |
| lib\screens\majdy\TraineePage                                                                                |          1 |        328 |        207 |         20 |        555 |
| lib\screens\majdy\tables                                                                                     |          4 |        575 |        199 |         41 |        815 |
| linux                                                                                                        |          6 |        112 |         27 |         44 |        183 |
| linux (Files)                                                                                                |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                |          3 |         26 |          9 |         17 |         52 |
| macos                                                                                                        |          5 |        441 |          3 |         12 |        456 |
| macos\Flutter                                                                                                |          1 |         10 |          3 |          4 |         17 |
| macos\Runner                                                                                                 |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                         |          2 |         20 |          0 |          6 |         26 |
| macos\Runner\Assets.xcassets                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                      |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                         |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                          |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                      |         11 |        456 |         91 |        148 |        695 |
| windows\flutter                                                                                              |          3 |         30 |          9 |         17 |         56 |
| windows\runner                                                                                               |          8 |        426 |         82 |        131 |        639 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Asus\Desktop\admin\admin_dashboard\README.md                                                        | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\analysis_options.yaml                                            | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\build.gradle                                         | Gradle     |         54 |          5 |         13 |         72 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\debug\AndroidManifest.xml                        | XML        |          4 |          4 |          1 |          9 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\AndroidManifest.xml                         | XML        |         32 |          6 |          2 |         40 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\res\drawable-v21\launch_background.xml      | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\res\drawable\launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\res\values-night\styles.xml                 | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\main\res\values\styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\app\src\profile\AndroidManifest.xml                      | XML        |          4 |          4 |          1 |          9 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\build.gradle                                             | Gradle     |         27 |          0 |          5 |         32 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\gradle.properties                                        | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\gradle\wrapper\gradle-wrapper.properties                 | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\android\settings.gradle                                          | Gradle     |          8 |          0 |          4 |         12 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\BlogPost.svg                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Comments.svg                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Dashboard.svg                                       | XML        |          6 |          0 |          1 |          7 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Dribbble.svg                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Facebook.svg                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Linkedin.svg                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Logout.svg                                          | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\Pages.svg                                           | XML        |          3 |          0 |          1 |          4 |
